sent,score,label
That's how we're that's how we're priced.,0.9907039999961850,-1
", that's I was gonna happen.",0.9869261384010320,-1
So that's we do.,0.9868255853652950,-1
That's how it is.,0.9865617752075200,-1
This is this is great.,0.9849059581756590,-1
But so there's that.,0.9845395088195800,-1
So that's the mother...,0.9836919903755190,-1
I'm gonna explicitly call that Sum simone.,0.9804421067237850,-1
That's that's good to go.,0.976022481918335,-1
They keep comment on as for sure.,0.974203884601593,-1
"So definitely, definitely an example of be willing to do it all.",0.9735140204429630,-1
So that was one thing.,0.9732740521430970,-1
So sas is what we use right now.,0.973023533821106,-1
So That's what I'm day is not bad.,0.9728063941001890,-1
"This is the orders that's sitting in the middle saying, hey.",0.9676707983016970,-1
"So it's the top line, we can statement head.",0.967022716999054,-1
The last comment all out here.,0.9668389558792110,-1
"That Obviously, there's some yeah.",0.9665951728820800,-1
So that that today this this is the,0.9665320515632630,-1
That's exactly what happened.,0.9663673043251040,-1
 We have you know,0.9652808308601380,-1
So I'm of case for Apollo.,0.964271605014801,-1
"Kevin, Kevin is yeah",0.9634808301925660,-1
The chart I was like That's true.,0.962178647518158,-1
"Of course, like it's...",0.9605804681777950,-1
And that's the trend i get.,0.9592334628105160,-1
it's a major success.,0.9577122330665590,-1
"Then I just said, like, all looks great.",0.9573034644126890,-1
And so the plan has actually...,0.9567660093307500,-1
" Oh, Nice is, Merry.",0.9555025696754460,-1
"So i gonna say, I thought it",0.9552678465843200,-1
 So that was was one of my wins yesterday.,0.9542112350463870,-1
From the claims team.,0.9537436962127690,-1
 This is the right here.,0.9530516266822820,-1
I can definitely attest too.,0.951712429523468,-1
I know at time.,0.9517080187797550,-1
That's the right away.,0.9517067670822140,-1
It's it's this week.,0.9512137174606320,-1
So it's Got it.,0.9511647820472720,-1
I know that will we'll cross all these...,0.9506636261940000,-1
That's that's good to know.,0.9502375721931460,-1
So my name is.,0.9499841332435610,-1
So right now it's what you'd expect.,0.9493502378463750,-1
That's that's how I get you.,0.9491099119186400,-1
"like, I tell him...",0.9479304552078250,-1
So he's he's super solid.,0.9476680159568790,-1
Those are all within this claims menu.,0.9458780884742740,-1
"We have a champion mindset, everyone over here around the screen is relentless of pursuing greatness.",0.9452534317970280,-1
" Oh, it's because it's already published.",0.943992555141449,-1
" Yes, it does it does.",0.9433904886245730,-1
That's that's cool with me.,0.9430431127548220,-1
So that's uploaded to by.,0.9418175220489500,-1
"I mean, this is basically how it works.",0.9402948617935180,-1
So that is what this has results for.,0.9402307271957400,-1
Client 2| Happy to say that.,0.9392619729042050,-1
Topper I do that one here.,0.93598872423172,-1
We you've been absolutely crushing it.,0.9335132241249080,-1
So So when I was referencing naming convention.,0.9331082105636600,-1
"Those are That's, like their email you a claim Okay.",0.9324132204055790,-1
That's a great call.,0.9321292638778690,-1
Just said it You can see the itinerary for each of the calls.,0.9315077662467960,-1
That collective solution dot net.,0.9305006265640260,-1
It's it's been a good day for me.,0.9304072260856630,-1
" Oh, I agree with that so much.",0.9298381209373470,-1
"There's that and then whatever the maintenance fee is, for that.",0.9297015070915220,-1
This is This is a huge step forward for the company.,0.9294761419296270,-1
So That was the fun last night,0.9291828274726870,-1
"This is like, what i like, gonna be easy clients to close and, like, Yeah.",0.9270172715187070,-1
I'm going just sarah.,0.9251540303230290,-1
But I was just saying that I'm yeah.,0.9243366122245790,-1
I I agree with you.,0.9238950610160830,-1
"So on these other ones, there was one of these that he said Survival gear.",0.9235062599182130,-1
So I'll I'll have to,0.9215375185012820,-1
" Everyone's just saying like, yeah, we've got order limit and order logic.",0.9214019179344180,-1
It's it's so good.,0.9210073351860050,-1
This is a cumulative report about all stores.,0.9199560284614560,-1
It's like It's it's pretty cool.,0.9197381734848020,-1
" Not there's nothing, you know.",0.9194174408912660,-1
That's all of them.,0.9191411733627320,-1
So that's probably what we do.,0.9190458655357360,-1
That's the goal cross or for your end both in terms of number of ones and and Arr.,0.9184930920600890,-1
It's a highlight we are we not doing it.,0.918086051940918,-1
I was gonna say I,0.9174062609672550,-1
So that's probably for me.,0.9173433184623720,-1
That is on the road map.,0.9172581434249880,-1
And then that's that's a good way to put it.,0.9160386919975280,-1
So that is That that is not our commerce product.,0.9157673716545110,-1
So this is kinda what trend looks like.,0.9153361916542050,-1
We go so for us.,0.9150471091270450,-1
"For us right now, we are we are...",0.9143006205558780,-1
So just big highlights to touch on right now.,0.9135932326316830,-1
It's like hey the volume is most gonna make you better.,0.9133909344673160,-1
" No, that's about it.",0.9108326435089110,-1
There's also Mh go ahead,0.9108023643493650,-1
So I'm gonna be...,0.9105746150016790,-1
"That was on so where obviously, we told you guys we're chain.",0.9075551629066470,-1
Is what it is.,0.9056437611579900,-1
With with Hope spot.,0.9052333831787110,-1
" Anyway, that was the latest in my thinking.",0.9043234586715700,-1
Yeah that you'll be working for sure.,0.904209315776825,-1
 So this is divine with an e I can't view the full profile.,0.9039521217346190,-1
So to clarify they're forecasting is...,0.9038841128349300,-1
"Like, so I love the product.",0.9038592576980590,-1
"And then you were saying, yes.",0.9033532738685610,-1
She can she sees that it's done.,0.903311014175415,-1
For for the orders.,0.9031689763069150,-1
So it's j s p o n s e l l E r had tri stat ventures.,0.9031473994255070,-1
 Introduce yourself as well done.,0.9031256437301640,-1
" Neutral services says hey, This is how you're grading out.",0.9028586149215700,-1
So it's it's very important...,0.9024457931518560,-1
 It's the main thing.,0.9022144079208370,-1
"Proud to say that, but it just it's tedious, you know.",0.9000409245491030,-1
In it in it.,0.8987875580787660,-1
"it's just good to mention that on the Like, for Gorgeous, for example, and that's a pretty big common when used.",0.8976369500160220,-1
So notice here says store plural and then at store here.,0.8973585367202760,-1
" Neutral service says, hey This is how you're grading out.",0.89669269323349,-1
So nothing else it's outstanding.,0.895392119884491,-1
It's it's gonna help you ramp.,0.8948434591293340,-1
I'm not worried about.,0.8935002684593200,-1
We're in parity now.,0.8931048512458800,-1
Yeah so that's probably what we do.,0.8930060267448430,-1
and I just mentioned to down right,0.8926857113838200,-1
I am good Excel.,0.8923913836479190,-1
Appreciate the appreciate the time.,0.8923088908195500,-1
So I have the account here.,0.8909114003181460,-1
But you guys know how it is.,0.8907890915870670,-1
"And yeah, I really really agree...",0.8905386328697210,-1
"It's like, hey the volume is most to make you better.",0.890537440776825,-1
That's Yeah Fourteen to be fahrenheit night.,0.8903674483299260,-1
For agent that is.,0.8902360200881960,-1
So just Really good sales experience.,0.8902125358581540,-1
We we Love it.,0.8901159763336180,-1
I'm I'm in it all the time.,0.8886616826057430,-1
Here's what we've seen on the team floor.,0.8883249163627630,-1
"I'm like, oh, there you go.",0.8881396055221560,-1
 There's host with it with the digital title.,0.8869274854660030,-1
It's like this is the...,0.885610044002533,-1
"Well, I'm I'm excited show you this.",0.8842207789421080,-1
I know that we can res.,0.8834111094474790,-1
"I have to, like not blow my background and it literally says",0.8828690052032470,-1
I I told you that I studied finance in school.,0.8827958703041080,-1
That's exactly what we've been referring to.,0.8817213773727420,-1
Erp head count historical.,0.8811171650886540,-1
It's very harsh you california.,0.8802415728569030,-1
And now everyone should work.,0.8797550797462460,-1
So you're in here as Concierge.,0.8796952366828920,-1
It end order protection dot com.,0.8796355128288270,-1
Zoom it's reported as as a reach out.,0.879608690738678,-1
"I'm gonna give to all of the lead to all the Va, I'm probably gonna give that to you the training needs to are probably they have have a better accent.",0.878524124622345,-1
"And like I said, I'm I'm gonna be focused on this.",0.8768683671951290,-1
So I make it...,0.8766665458679200,-1
You probably say that is just it's punchy.,0.8765815496444700,-1
"And like, yeah, I agree with you.",0.8764491677284240,-1
I'm I'm not gonna at not.,0.8764245510101320,-1
That we're seeing that.,0.8760117888450620,-1
Like Ice screenshot kinda what you said everything.,0.8751957416534420,-1
 This this means that they haven't logged in yet.,0.875145673751831,-1
But Our life is good.,0.8747996687889100,-1
We're some power all this.,0.8744646310806270,-1
"Then it has title, which is this at top",0.8743395209312440,-1
So we intend to do that.,0.8733894228935240,-1
I'm going to Marry.,0.8732321262359620,-1
And I think that's that's the perfect outcome.,0.8729825019836430,-1
 I. I don't wonder.,0.8724842071533200,-1
I'm just gonna say no.,0.8719429969787600,-1
I'm I did like it.,0.8717779517173770,-1
You have it up is is gonna central.,0.8714835047721860,-1
"Like the team expansions, because it's important.",0.871204674243927,-1
" So, like, yeah, that's like what I absolutely love.",0.8710445761680600,-1
Everything good to jai.,0.8710426092147830,-1
The type of software to indicate hey.,0.8700181841850280,-1
"So that's goal for today, Would love to get the upgraded feature set in front of you.",0.8697752356529240,-1
